order	max_K_val	max_K	K_val	Bioinformatics_ID	lat	long	X1	X2	X3	X4	X5
51	0.99996	X3	5	V2594_Rfor_PAC	17.17194444	-99.59027778	1e-5	1e-5	0.99996	1e-5	1e-5
52	0.99996	X3	5	V2595_Rfor_PAC	17.16577778	-99.59055556	1e-5	1e-5	0.99996	1e-5	1e-5
53	0.99996	X3	5	V2598_pap_PAC	17.16402778	-99.59166667	1e-5	1e-5	0.99996	1e-5	1e-5
54	0.99996	X3	5	V2599_pap_PAC	17.16402778	-99.59166667	1e-5	1e-5	0.99996	1e-5	1e-5
55	0.999951	X3	5	V2600_pap_PAC	17.16402778	-99.59166667	1e-5	1.9e-5	0.999951	1e-5	1e-5
12	0.99996	X3	5	T14192_papa_PAC	17.158608	-99.590452	1e-5	1e-5	0.99996	1e-5	1e-5
56	0.99996	X3	5	V2602_pap_PAC	17.12763889	-99.50666667	1e-5	1e-5	0.99996	1e-5	1e-5
60	0.99996	X2	5	V2688_Rfor_PAC	16.55852778	-94.60472222	1e-5	0.99996	1e-5	1e-5	1e-5
61	0.99996	X2	5	V2689_Rfor_PAC	16.55852778	-94.60472222	1e-5	0.99996	1e-5	1e-5	1e-5
62	0.999834	X2	5	V2691_Rfor_PAC	16.48236111	-94.36166667	1e-5	0.999834	1e-5	1e-5	1.35e-4
13	0.999947	X2	5	T14199_PAC	16.374811	-94.206688	1.6e-5	0.999947	1e-5	1.7e-5	1e-5
34	0.99996	X2	5	TF8647_Rspe_CMX	16.35146	-95.26557	1e-5	0.99996	1e-5	1e-5	1e-5
35	0.99996	X2	5	TF8648_Rspe_CMX	16.35146	-95.26557	1e-5	0.99996	1e-5	1e-5	1e-5
36	0.99996	X2	5	TF8649_Rspe_CMX	16.35146	-95.26557	1e-5	0.99996	1e-5	1e-5	1e-5
37	0.99995	X2	5	TF8650_Rspe_CMX	16.35146	-95.26557	2e-5	0.99995	1e-5	1e-5	1e-5
38	0.99996	X2	5	TF8651_Rspe_CMX	16.35146	-95.26557	1e-5	0.99996	1e-5	1e-5	1e-5
39	0.99996	X2	5	TF8652_Rspe_CMX	16.35146	-95.26557	1e-5	0.99996	1e-5	1e-5	1e-5
40	0.99996	X2	5	TF8653_Rspe_CMX	16.35146	-95.26557	1e-5	0.99996	1e-5	1e-5	1e-5
32	0.99996	X2	5	TF8637_Rspe_CMX	16.34919	-95.33441	1e-5	0.99996	1e-5	1e-5	1e-5
33	0.99996	X2	5	TF8644_Rspe_CMX	16.34919	-95.33441	1e-5	0.99996	1e-5	1e-5	1e-5
57	0.999955	X2	5	V2685_Rfor_PAC	16.55852778	-94.60472222	1e-5	0.999955	1e-5	1.5e-5	1e-5
58	0.99996	X2	5	V2686_Rfor_PAC	16.55852778	-94.60472222	1e-5	0.99996	1e-5	1e-5	1e-5
59	0.99996	X2	5	V2687_Rfor_PAC	16.55852778	-94.60472222	1e-5	0.99996	1e-5	1e-5	1e-5
63	0.999333	X2	5	V2692_Rfor_PAC	16.04061111	-93.70555556	6.37e-4	0.999333	1e-5	1e-5	1e-5
64	0.99996	X2	5	V2693_Rfor_PAC	16.04061111	-93.70555556	1e-5	0.99996	1e-5	1e-5	1e-5
66	0.99996	X2	5	V2696_Rfor_PAC	16.04061111	-93.70555556	1e-5	0.99996	1e-5	1e-5	1e-5
65	0.99996	X2	5	V2695_Rfor_PAC	15.90997222	-93.97861111	1e-5	0.99996	1e-5	1e-5	1e-5
68	0.999957	X2	5	V2699_Rfor_PAC	15.90997222	-93.97861111	1e-5	0.999957	1e-5	1.3e-5	1e-5
69	0.999954	X2	5	V2700_Rfor_PAC	15.90997222	-93.97861111	1e-5	0.999954	1e-5	1.6e-5	1e-5
67	0.99996	X2	5	V2697_Rfor_PAC	15.37591667	-92.75972222	1e-5	0.99996	1e-5	1e-5	1e-5
71	0.999953	X2	5	V2702_Rfor_PAC	15.37591667	-92.75972222	1e-5	0.999953	1.7e-5	1e-5	1e-5
72	0.99996	X2	5	V2706_Rfor_PAC	15.37591667	-92.75972222	1e-5	0.99996	1e-5	1e-5	1e-5
73	0.974947	X2	5	V2707_Rfor_PAC	15.37591667	-92.75972222	1e-5	0.974947	1e-5	0.025023	1e-5
74	0.879636	X2	5	V2708_Rfor_PAC	15.37591667	-92.75972222	1e-5	0.879636	1e-5	0.120334	1e-5
70	0.968163	X2	5	V2701_Rfor_PAC	15.37591667	-92.75972222	1e-5	0.968163	1e-5	0.031807	1e-5
8	0.999954	X2	5	MVZ269989_LCA	14.40899	-89.78107	1e-5	0.999954	1e-5	1.6e-5	1e-5
9	0.741178	X2	5	MVZ269990_LCA	14.40899	-89.78107	1e-5	0.741178	1e-5	0.258792	1e-5
10	0.975803	X2	5	MVZ269991_LCA	14.40899	-89.78107	1e-5	0.975803	1e-5	1e-5	0.024167
11	0.99996	X2	5	N918_LCA	13.550396	-85.692188	1e-5	0.99996	1e-5	1e-5	1e-5
2	0.99996	X2	5	KEN590_LCA	12.28544	-82.97517	1e-5	0.99996	1e-5	1e-5	1e-5
3	0.99996	X2	5	KEN591_LCA	12.28544	-82.97518	1e-5	0.99996	1e-5	1e-5	1e-5
4	0.982877	X2	5	KEN592_LCA	12.28544	-82.97519	1e-5	0.982877	0.017093	1e-5	1e-5
17	0.99996	X2	5	T3042_LCA	10.535548	-85.585251	1e-5	0.99996	1e-5	1e-5	1e-5
7	0.999957	X2	5	MVZ207327_LCA	10.93333	-85.45	1.3e-5	0.999957	1e-5	1e-5	1e-5
18	0.999957	X2	5	T3043_LCA	10.530324	-85.62654	1.3e-5	0.999957	1e-5	1e-5	1e-5
6	0.99996	X2	5	MVZ175967_LCA	10.39609	-85.17921	1e-5	0.99996	1e-5	1e-5	1e-5
5	0.999954	X2	5	MVZ149013_LCA	10.39609	-85.17921	1.6e-5	0.999954	1e-5	1e-5	1e-5
21	0.999958	X2	5	T3544_LCA	9.959587	-84.736905	1.2e-5	0.999958	1e-5	1e-5	1e-5
22	0.999957	X2	5	T3545_LCA	9.959587	-84.736905	1e-5	0.999957	1.3e-5	1e-5	1e-5
23	0.99996	X2	5	T3557_LCA	9.959587	-84.736905	1e-5	0.99996	1e-5	1e-5	1e-5
24	0.99996	X2	5	T3576_LCA	9.959587	-84.736905	1e-5	0.99996	1e-5	1e-5	1e-5
25	0.999959	X2	5	T3577_LCA	9.959587	-84.736905	1.1e-5	0.999959	1e-5	1e-5	1e-5
26	0.99996	X2	5	T3588_LCA	9.959587	-84.736905	1e-5	0.99996	1e-5	1e-5	1e-5
27	0.99996	X2	5	T3703_LCA	9.959587	-84.736905	1e-5	0.99996	1e-5	1e-5	1e-5
28	0.975696	X2	5	T3715_LCA	9.959587	-84.736905	1e-5	0.975696	1e-5	1e-5	0.024274
29	0.999956	X2	5	T3743_LCA	9.959587	-84.736905	1e-5	0.999956	1e-5	1.4e-5	1e-5
30	0.99996	X2	5	T3762_LCA	9.959587	-84.736905	1e-5	0.99996	1e-5	1e-5	1e-5
